time,angle
22,0
23,11.94
24,28.01
24,30.77
25,29.39
26,31.22
27,30.77
28,31.22
29,30.77
29,23.42
30,25.26
31,28.01
32,23.42
33,24.8
34,28.93
34,22.5
35,26.63
36,21.58
37,24.8
38,21.12
39,25.26
39,20.66
40,17.45
41,19.74
43,18.83
44,16.99
45,19.29
45,18.37
46,16.99
47,20.2
48,16.99
49,16.07
50,19.29
50,18.37
51,16.99
52,20.2
53,18.37
54,18.37
55,16.99
55,18.83
56,17.45
57,17.45
58,21.12
59,19.29
59,17.45
60,17.91
61,21.12
62,19.29
63,17.91
64,17.91
64,22.5
65,20.2
66,18.83
67,19.29
68,18.83
69,17.91
69,17.91
70,19.74
71,20.66
72,18.83
73,17.91
74,17.91
74,18.37
75,17.91
76,17.45
77,17.91
78,18.37
79,18.37
79,17.91
80,17.91
81,18.37
82,18.37
83,19.74
84,18.37
84,18.83
86,18.37
87,17.91
88,17.45
89,18.83
90,17.91
90,18.83
91,18.37
92,19.29
93,19.74
94,19.29
95,19.29
95,19.29
96,19.29
97,18.83
98,20.66
99,19.74
100,20.2
100,20.2
101,20.66
102,20.2
103,19.29
104,21.58
105,21.58
106,19.74
107,21.12
108,22.04
109,19.74
110,21.58
110,21.58
111,20.66
112,22.04
113,21.58
114,21.58
115,22.04
116,22.96
117,22.96
118,22.96
119,23.42
120,24.8
121,25.26
121,23.88
122,24.8
123,24.8
124,24.8
125,24.8
126,26.63
128,25.71
129,26.63
130,27.09
131,28.01
132,27.55
132,27.55
133,27.09
134,27.09
135,29.39
136,30.31
137,30.77
138,30.77
139,29.85
140,31.22
141,31.22
142,31.68
143,32.14
143,32.6
144,33.52
145,32.6
146,33.06
147,33.06
148,33.98
149,33.52
150,35.82
151,34.9
152,34.44
153,34.9
153,34.9
154,35.36
155,34.9
156,36.73
157,35.82
158,37.19
159,37.65
160,36.73
161,36.73
162,37.19
163,37.65
164,37.19
164,38.57
165,39.03
166,39.03
167,37.65
168,39.95
169,38.11
171,39.49
172,39.95
173,40.87
174,40.87
175,39.95
175,41.33
176,41.79
177,40.87
178,41.79
179,42.7
180,42.7
181,41.33
182,42.7
183,41.79
184,43.62
185,43.62
186,43.62
186,44.08
187,44.08
188,42.7
189,45.92
190,45.92
191,45.46
192,45.46
193,47.3
194,47.3
195,48.21
196,47.76
196,49.13
197,47.76
198,48.67
199,49.13
200,50.05
201,50.05
202,50.05
203,51.43
204,49.13
205,51.89
206,52.35
207,51.89
207,51.89
208,53.27
209,53.27
210,50.97
211,53.72
212,52.81
214,53.72
215,53.72
216,54.18
217,55.1
218,56.48
218,56.02
219,56.02
220,56.02
221,56.48
222,56.94
223,57.4
224,56.02
225,58.32
226,58.78
227,58.78
228,59.23
229,59.69
229,58.78
230,57.86
231,59.69
232,59.69
233,60.61
234,60.61
235,61.07
236,60.61
237,60.15
238,62.45
239,62.45
239,62.45
240,63.37
241,62.91
242,62.45
243,63.83
244,64.74
245,64.29
246,64.29
247,65.2
248,65.66
249,65.2
250,66.12
250,65.66
251,66.58
252,67.04
253,67.04
254,67.04
256,67.5
257,68.42
258,67.96
259,68.88
260,69.34
261,69.8
261,67.5
262,69.34
263,68.88
264,70.71
265,70.26
266,70.26
267,71.63
268,71.17
269,71.17
270,72.09
271,72.09
272,72.09
272,73.47
273,73.47
274,73.47
275,73.47
276,73.93
277,73.47
278,72.09
279,72.55
280,72.09
281,72.55
282,73.93
282,73.47
283,73.01
284,75.31
285,73.01
286,73.01
287,73.93
288,73.93
289,73.47
290,74.39
291,74.85
292,74.39
293,74.39
293,74.85
294,75.31
295,75.77
296,75.77
297,76.68
299,76.22
300,76.68
301,77.14
302,78.06
303,78.98
304,78.98
304,79.44
305,79.44
306,79.44
307,79.44
308,79.44
309,78.52
310,79.44
311,79.44
312,79.9
313,80.82
314,80.36
315,80.82
315,80.82
316,81.73
317,82.19
318,81.73
319,82.19
320,81.28
321,83.11
322,82.65
323,82.65
324,83.11
325,83.57
325,83.11
326,83.11
327,94.59
328,89.08
329,85.41
330,84.95
331,85.87
332,84.03
333,83.57
334,84.95
335,85.41
336,84.03
336,86.33
337,86.79
338,87.24
339,87.7
340,86.79
342,87.24
343,88.62
344,87.7
345,88.62
346,87.7
347,88.62
347,87.24
348,88.16
349,88.62
350,88.62
351,88.62
352,88.62
353,89.08
354,90
355,90
356,90.92
357,88.62
358,90
358,90.46
359,90
360,90
361,90
362,89.54
363,90
364,91.38
365,90
366,96.89
367,100.1
368,90.46
369,91.38
369,91.38
370,90.92
371,90.92
372,90.92
373,90.46
374,90.46
375,89.08
376,90.46
377,90.46
378,90
379,90.92
380,90.46
380,91.38
381,90.92
382,90.46
384,89.54
385,89.08
386,90
387,90.46
388,90
389,90
390,90.92
391,90.46
391,89.08
392,90.46
393,91.38
394,89.54
395,90
396,89.08
397,89.08
398,89.54
399,88.62
400,89.08
401,89.08
402,89.08
402,89.54
403,90
404,88.62
405,89.54
406,90
407,88.62
408,89.08
409,89.54
410,89.08
411,89.54
412,89.08
412,88.62
413,87.7
414,88.62
415,89.08
416,88.62
417,88.62
418,88.16
419,88.62
420,89.08
421,89.54
422,88.16
423,88.62
423,88.62
424,88.16
425,88.62
427,88.62
428,92.76
429,87.7
430,88.62
431,90.92
432,93.21
433,92.76
434,92.3
434,92.76
435,90.92
436,92.3
437,88.62
438,87.7
439,88.62
440,89.08
441,89.08
442,88.62
443,87.24
444,88.16
445,88.16
445,89.08
446,88.62
447,87.7
448,87.24
449,89.08
450,88.62
451,89.08
452,89.54
453,89.08
454,88.62
455,89.08
455,89.54
456,89.54
457,90
458,89.08
459,89.54
460,89.54
461,89.08
462,89.54
463,89.08
464,89.08
465,88.62
466,88.16
466,89.08
467,89.08
468,89.08
470,89.54
471,87.7
472,89.08
473,88.62
474,87.7
475,88.16
476,89.08
477,87.7
477,88.62
478,89.08
479,88.62
480,89.08
481,88.62
482,89.08
483,88.62
484,87.7
485,87.7
486,87.24
487,89.08
488,88.16
488,88.16
489,88.16
490,88.16
491,88.62
492,86.79
493,88.16
494,88.16
495,88.16
496,87.7
497,88.16
498,88.16
498,88.62
499,88.16
500,88.16
501,88.62
502,87.7
503,87.7
504,88.16
505,88.16
506,88.16
507,88.62
508,88.16
509,88.16
509,88.16
510,88.16
512,88.16
513,87.7
514,88.16
515,87.7
516,90.92
517,90.46
518,88.62
519,90
520,90.92
520,90
521,89.08
522,87.7
523,88.16
524,88.16
525,88.16
526,88.62
527,88.16
528,87.7
529,86.79
530,87.24
531,88.16
531,87.7
532,88.16
533,87.24
534,87.7
535,87.7
536,88.16
537,88.16
538,88.62
539,88.62
540,88.16
541,88.62
541,88.62
542,88.16
543,88.16
544,88.62
545,87.7
546,88.62
547,89.54
548,88.16
549,87.24
550,88.16
551,88.16
552,88.16
552,88.62
553,87.24
555,89.08
556,88.62
557,88.16
558,90.46
559,91.38
560,90.46
561,91.38
562,88.62
563,89.08
563,90.46
564,89.08
565,88.62
566,87.7
567,88.16
568,87.7
569,88.16
570,88.16
571,87.7
572,88.62
573,88.62
574,87.7
574,88.16
575,88.16
576,87.7
577,88.16
578,87.7
579,88.62
580,88.62
581,88.16
582,88.62
583,87.7
584,86.79
584,88.62
585,87.24
586,87.7
587,88.16
588,88.16
589,87.24
590,87.7
591,88.16
592,88.62
593,88.16
594,87.7
595,88.16
595,88.62
596,90
598,90
599,90.92
600,90
601,90.92
602,89.54
603,89.08
604,87.7
605,88.16
606,88.16
606,87.7
607,87.7
608,88.16
609,88.16
610,86.79
611,88.16
612,88.62
613,87.7
614,88.16
615,88.16
616,88.16
617,88.62
617,88.62
618,87.7
619,88.16
620,88.62
621,88.16
622,87.7
623,88.16
624,87.7
625,88.62
626,88.16
627,88.62
627,88.62
628,87.7
629,87.24
630,88.62
631,87.24
632,87.7
633,87.7
634,88.62
635,87.7
636,89.08
637,88.16
638,87.7
638,88.16
640,91.84
641,92.3
642,92.3
643,92.3
644,93.21
645,92.3
646,91.38
647,89.54
648,87.7
649,88.16
649,88.16
650,87.7
651,87.7
652,88.16
653,88.62
654,88.16
655,88.16
656,87.7
657,87.7
658,87.7
659,88.62
660,87.7
660,88.62
661,88.62
662,88.16
663,88.62
664,88.16
665,88.16
666,87.7
667,87.7
668,87.7
669,87.7
670,88.16
670,88.16
671,88.62
672,88.16
673,88.16
674,87.7
675,88.16
676,88.62
677,88.62
678,90.46
679,90
680,90.92
681,88.62
681,90.46
683,90.92
684,90.92
685,88.62
686,87.7
687,88.16
688,87.24
689,88.16
690,88.62
691,87.24
692,88.62
692,88.62
693,88.62
694,87.24
695,88.16
696,88.16
697,88.16
698,87.7
699,88.16
700,88.16
701,88.16
702,88.62
703,88.16
703,87.24
704,88.16
705,88.16
706,88.16
707,88.62
708,87.7
709,88.16
710,86.33
711,88.16
712,88.62
713,87.7
713,88.62
714,87.7
715,89.08
716,90
717,90.92
718,90.92
719,90.46
720,91.38
721,91.38
722,87.7
723,88.62
724,87.24
724,88.16
726,88.62
727,87.7
728,88.16
729,87.7
730,87.24
731,88.16
732,88.62
733,88.16
734,88.62
735,88.62
735,88.16
736,88.62
737,88.62
738,86.79
739,88.16
740,87.24
741,87.24
742,88.62
743,88.16
744,86.79
745,88.16
746,87.7
746,88.16
747,87.7
748,89.08
749,88.62
750,88.16
751,88.62
752,86.79
753,87.7
754,88.16
755,90.46
756,90.92
756,87.7
757,90
758,90
